year,month,year_month,airport,residence_country,traveller_type,counts
2021,Jan,2021-01-01,"Calgary International Airport, Alberta","Canadian-resident visitors returning to Canada, air",Excursionists (same-day),143
2021,Jan,2021-01-01,"Calgary International Airport, Alberta","Canadian-resident visitors returning to Canada, air",Tourists (overnight),20628
2021,Jan,2021-01-01,"Calgary International Airport, Alberta","Canadian-resident visitors returning to Canada, air",Visitors,20771
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Chile,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Chile,Tourists (overnight),12
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Chile,Visitors,12
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",China,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",China,Tourists (overnight),3
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",China,Visitors,3
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Colombia,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Colombia,Tourists (overnight),4
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Colombia,Visitors,4
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Czechia,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Czechia,Tourists (overnight),9
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Czechia,Visitors,9
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Denmark,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Denmark,Tourists (overnight),7
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Denmark,Visitors,7
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Egypt,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Egypt,Tourists (overnight),2
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Egypt,Visitors,2
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Europe,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Europe,Tourists (overnight),468
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Europe,Visitors,468
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Europe - other countries,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Europe - other countries,Tourists (overnight),16
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Europe - other countries,Visitors,16
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Finland,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Finland,Tourists (overnight),8
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Finland,Visitors,8
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",France,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",France,Tourists (overnight),23
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",France,Visitors,23
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Germany,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Germany,Tourists (overnight),65
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Germany,Visitors,65
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Greece,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Greece,Tourists (overnight),4
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Greece,Visitors,4
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Haiti,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Haiti,Tourists (overnight),1
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Haiti,Visitors,1
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Hong Kong,Excursionists (same-day),0
